CELEVATION,CHEADING,CSPEED,TIME
0.0,73.3,0.0,0.0
0.0,90.0,0.0,261.0
0.0,0.0,0.0,1111.0
0.0,-90.0,0.0,1211.0
0.0,0.0,0.0,2061.0
0.0,90.0,0.0,2161.0
0.0,0.0,0.0,3011.0
0.0,-90.0,0.0,3111.0
0.0,0.0,0.0,3961.0
0.0,90.0,0.0,4061.0
0.0,0.0,0.0,4911.0
0.0,-90.0,0.0,5011.0
0.0,0.0,0.0,5861.0
0.0,90.0,0.0,5961.0
0.0,0.0,0.0,6811.0
0.0,-90.0,0.0,6911.0
0.0,0.0,0.0,7761.0
0.0,90.0,0.0,7861.0
0.0,0.0,0.0,8711.0
0.0,-90.0,0.0,8811.0
0.0,0.0,0.0,9661.0
0.0,90.0,0.0,9761.0
0.0,0.0,0.0,10611.0
0.0,-90.0,0.0,10711.0
0.0,0.0,0.0,11561.0
0.0,90.0,0.0,11661.0
0.0,0.0,0.0,12511.0
0.0,-90.0,0.0,12611.0
0.0,0.0,0.0,13461.0
0.0,90.0,0.0,13561.0
0.0,0.0,0.0,14411.0
0.0,45.0,0.0,14511.0
