CELEVATION,CHEADING,CSPEED,TIME
0.0,45.0,0.0,0.0
0.0,-45.0,0.0,883.9
0.0,-135.0,0.0,896.4
0.0,135.0,0.0,971.4
0.0,45.0,0.0,1058.9
0.0,-45.0,0.0,1208.9
0.0,-135.0,0.0,1371.4
0.0,135.0,0.0,1596.4
0.0,45.0,0.0,1833.9
0.0,-45.0,0.0,2133.9
0.0,-135.0,0.0,2446.4
0.0,135.0,0.0,2821.4
0.0,45.0,0.0,3208.9
0.0,-45.0,0.0,3658.9
0.0,-135.0,0.0,4121.4
0.0,135.0,0.0,4646.4
0.0,45.0,0.0,5183.9
0.0,-45.0,0.0,5783.9
0.0,-135.0,0.0,6396.4
0.0,135.0,0.0,7071.4
0.0,45.0,0.0,7758.9
0.0,-45.0,0.0,8508.9
0.0,-135.0,0.0,9271.4
0.0,135.0,0.0,10096.4
0.0,45.0,0.0,10933.9
