CELEVATION,CHEADING,CSPEED,TIME
0.0,75.1,0.0,0.0
0.0,100.0,0.0,388.1
0.0,10.0,0.0,838.1
0.0,-80.0,0.0,888.1
0.0,10.0,0.0,1338.1
0.0,100.0,0.0,1388.1
0.0,10.0,0.0,1838.1
0.0,-80.0,0.0,1888.1
0.0,10.0,0.0,2338.1
0.0,100.0,0.0,2388.1
0.0,10.0,0.0,2838.1
0.0,-80.0,0.0,2888.1
0.0,10.0,0.0,3338.1
0.0,100.0,0.0,3388.1
0.0,10.0,0.0,3838.1
0.0,-80.0,0.0,3888.1
0.0,10.0,0.0,4338.1
0.0,100.0,0.0,4388.1
0.0,10.0,0.0,4838.1
0.0,-80.0,0.0,4888.1
0.0,10.0,0.0,5338.1
0.0,100.0,0.0,5388.1
0.0,10.0,0.0,5838.1
0.0,-80.0,0.0,5888.1
0.0,10.0,0.0,6338.1
0.0,100.0,0.0,6388.1
0.0,10.0,0.0,6838.1
0.0,-80.0,0.0,6888.1
0.0,10.0,0.0,7338.1
0.0,100.0,0.0,7388.1
0.0,10.0,0.0,7838.1
0.0,45.0,0.0,7888.1
