CELEVATION,CHEADING,CSPEED,TIME
0.0,62.1,0.0,0.0
0.0,90.0,0.0,480.9
0.0,0.0,0.0,980.9
0.0,-90.0,0.0,1018.4
0.0,0.0,0.0,1518.4
0.0,90.0,0.0,1555.9
0.0,0.0,0.0,2055.9
0.0,-90.0,0.0,2093.4
0.0,0.0,0.0,2593.4
0.0,90.0,0.0,2630.9
0.0,0.0,0.0,3130.9
0.0,-90.0,0.0,3168.4
0.0,0.0,0.0,3668.4
0.0,90.0,0.0,3705.9
0.0,0.0,0.0,4205.9
0.0,-90.0,0.0,4243.4
0.0,0.0,0.0,4743.4
0.0,90.0,0.0,4780.9
0.0,0.0,0.0,5280.9
0.0,-90.0,0.0,5318.4
0.0,0.0,0.0,5818.4
0.0,90.0,0.0,5855.9
0.0,0.0,0.0,6355.9
0.0,-90.0,0.0,6393.4
0.0,0.0,0.0,6893.4
0.0,90.0,0.0,6930.9
0.0,0.0,0.0,7430.9
0.0,-90.0,0.0,7468.4
0.0,0.0,0.0,7968.4
0.0,90.0,0.0,8005.9
0.0,0.0,0.0,8505.9
0.0,-90.0,0.0,8543.4
0.0,0.0,0.0,9043.4
0.0,90.0,0.0,9080.9
0.0,0.0,0.0,9580.9
0.0,-90.0,0.0,9618.4
0.0,0.0,0.0,10118.4
0.0,90.0,0.0,10155.9
0.0,0.0,0.0,10655.9
0.0,-90.0,0.0,10693.4
0.0,0.0,0.0,11193.4
0.0,90.0,0.0,11230.9
0.0,0.0,0.0,11730.9
0.0,-90.0,0.0,11768.4
0.0,0.0,0.0,12268.4
0.0,90.0,0.0,12305.9
0.0,0.0,0.0,12805.9
0.0,-90.0,0.0,12843.4
0.0,0.0,0.0,13343.4
0.0,90.0,0.0,13380.9
0.0,0.0,0.0,13880.9
0.0,45.0,0.0,13918.4
