CELEVATION,CHEADING,CSPEED,TIME
0.0,71.6,0.0,0.0
0.0,95.0,0.0,395.3
0.0,5.0,0.0,845.3
0.0,-85.0,0.0,895.3
0.0,5.0,0.0,1345.3
0.0,95.0,0.0,1395.3
0.0,5.0,0.0,1845.3
0.0,-85.0,0.0,1895.3
0.0,5.0,0.0,2345.3
0.0,95.0,0.0,2395.3
0.0,5.0,0.0,2845.3
0.0,-85.0,0.0,2895.3
0.0,5.0,0.0,3345.3
0.0,95.0,0.0,3395.3
0.0,5.0,0.0,3845.3
0.0,-85.0,0.0,3895.3
0.0,5.0,0.0,4345.3
0.0,95.0,0.0,4395.3
0.0,5.0,0.0,4845.3
0.0,-85.0,0.0,4895.3
0.0,5.0,0.0,5345.3
0.0,95.0,0.0,5395.3
0.0,5.0,0.0,5845.3
0.0,-85.0,0.0,5895.3
0.0,5.0,0.0,6345.3
0.0,95.0,0.0,6395.3
0.0,5.0,0.0,6845.3
0.0,-85.0,0.0,6895.3
0.0,5.0,0.0,7345.3
0.0,95.0,0.0,7395.3
0.0,5.0,0.0,7845.3
0.0,45.0,0.0,7895.3
