CELEVATION,CHEADING,CSPEED,TIME
0.0,-116.6,0.0,0.0
0.0,-45.0,0.0,559.0
0.0,-135.0,0.0,571.5
0.0,135.0,0.0,621.5
0.0,45.0,0.0,684.0
0.0,-45.0,0.0,784.0
0.0,-135.0,0.0,896.5
0.0,135.0,0.0,1046.5
0.0,45.0,0.0,1209.0
0.0,-45.0,0.0,1409.0
0.0,-135.0,0.0,1621.5
0.0,135.0,0.0,1871.5
0.0,45.0,0.0,2134.0
0.0,-45.0,0.0,2434.0
0.0,-135.0,0.0,2746.5
0.0,135.0,0.0,3096.5
0.0,45.0,0.0,3459.0
0.0,-45.0,0.0,3859.0
0.0,-135.0,0.0,4271.5
0.0,135.0,0.0,4721.5
0.0,45.0,0.0,5184.0
0.0,-45.0,0.0,5684.0
0.0,-135.0,0.0,6196.5
0.0,135.0,0.0,6746.5
