cAzimuth,cElevation,time
0.0,20.0,0.0
40.0,20.0,4.0
80.0,20.0,8.0
90.0,20.0,12.0
50.0,20.0,16.0
10.0,20.0,20.0
-30.0,20.0,24.0
-70.0,20.0,28.0
-90.0,20.0,32.0
-50.0,20.0,36.0
-10.0,20.0,40.0
30.0,20.0,44.0
70.0,20.0,48.0
90.0,20.0,52.0
50.0,20.0,56.0
10.0,20.0,60.0
-30.0,20.0,64.0
-70.0,20.0,68.0
-90.0,20.0,72.0
-50.0,20.0,76.0
-10.0,20.0,80.0
30.0,20.0,84.0
70.0,20.0,88.0
90.0,20.0,92.0
50.0,20.0,96.0
10.0,20.0,100.0
-30.0,20.0,104.0
-70.0,20.0,108.0
-90.0,20.0,112.0
-50.0,20.0,116.0
-10.0,20.0,120.0
30.0,20.0,124.0
70.0,20.0,128.0
90.0,20.0,132.0
50.0,20.0,136.0
10.0,20.0,140.0
-30.0,20.0,144.0
-70.0,20.0,148.0
-90.0,20.0,152.0
-50.0,20.0,156.0
-10.0,20.0,160.0
30.0,20.0,164.0
70.0,20.0,168.0
90.0,20.0,172.0
50.0,20.0,176.0
10.0,20.0,180.0
-30.0,20.0,184.0
-70.0,20.0,188.0
-90.0,20.0,192.0
-50.0,20.0,196.0
-10.0,20.0,200.0
30.0,20.0,204.0
70.0,20.0,208.0
90.0,20.0,212.0
50.0,20.0,216.0
10.0,20.0,220.0
-30.0,20.0,224.0
-70.0,20.0,228.0
-90.0,20.0,232.0
-50.0,20.0,236.0
-10.0,20.0,240.0
30.0,20.0,244.0
70.0,20.0,248.0
90.0,20.0,252.0
50.0,20.0,256.0
10.0,20.0,260.0
-30.0,20.0,264.0
-70.0,20.0,268.0
-90.0,20.0,272.0
-50.0,20.0,276.0
-10.0,20.0,280.0
30.0,20.0,284.0
70.0,20.0,288.0
90.0,20.0,292.0
50.0,20.0,296.0
10.0,20.0,300.0
-30.0,20.0,304.0
-70.0,20.0,308.0
-90.0,20.0,312.0
-50.0,20.0,316.0
-10.0,20.0,320.0
30.0,20.0,324.0
70.0,20.0,328.0
90.0,20.0,332.0
50.0,20.0,336.0
10.0,20.0,340.0
-30.0,20.0,344.0
-70.0,20.0,348.0
-90.0,20.0,352.0
-50.0,20.0,356.0
-10.0,20.0,360.0
30.0,20.0,364.0
70.0,20.0,368.0
90.0,20.0,372.0
50.0,20.0,376.0
10.0,20.0,380.0
-30.0,20.0,384.0
-70.0,20.0,388.0
-90.0,20.0,392.0
-50.0,20.0,396.0
-10.0,20.0,400.0
30.0,20.0,404.0
70.0,20.0,408.0
90.0,20.0,412.0
50.0,20.0,416.0
10.0,20.0,420.0
-30.0,20.0,424.0
-70.0,20.0,428.0
-90.0,20.0,432.0
-50.0,20.0,436.0
-10.0,20.0,440.0
30.0,20.0,444.0
70.0,20.0,448.0
90.0,20.0,452.0
50.0,20.0,456.0
10.0,20.0,460.0
-30.0,20.0,464.0
-70.0,20.0,468.0
-90.0,20.0,472.0
-50.0,20.0,476.0
-10.0,20.0,480.0
30.0,20.0,484.0
70.0,20.0,488.0
90.0,20.0,492.0
50.0,20.0,496.0
10.0,20.0,500.0
-30.0,20.0,504.0
-70.0,20.0,508.0
-90.0,20.0,512.0
-50.0,20.0,516.0
-10.0,20.0,520.0
30.0,20.0,524.0
70.0,20.0,528.0
90.0,20.0,532.0
50.0,20.0,536.0
10.0,20.0,540.0
-30.0,20.0,544.0
-70.0,20.0,548.0
-90.0,20.0,552.0
-50.0,20.0,556.0
-10.0,20.0,560.0
30.0,20.0,564.0
70.0,20.0,568.0
90.0,20.0,572.0
50.0,20.0,576.0
10.0,20.0,580.0
-30.0,20.0,584.0
-70.0,20.0,588.0
-90.0,20.0,592.0
-50.0,20.0,596.0
-10.0,20.0,600.0
30.0,20.0,604.0
70.0,20.0,608.0
90.0,20.0,612.0
50.0,20.0,616.0
10.0,20.0,620.0
-30.0,20.0,624.0
-70.0,20.0,628.0
-90.0,20.0,632.0
-50.0,20.0,636.0
-10.0,20.0,640.0
30.0,20.0,644.0
70.0,20.0,648.0
90.0,20.0,652.0
50.0,20.0,656.0
10.0,20.0,660.0
-30.0,20.0,664.0
-70.0,20.0,668.0
-90.0,20.0,672.0
-50.0,20.0,676.0
-10.0,20.0,680.0
30.0,20.0,684.0
70.0,20.0,688.0
90.0,20.0,692.0
50.0,20.0,696.0
10.0,20.0,700.0
-30.0,20.0,704.0
-70.0,20.0,708.0
-90.0,20.0,712.0
-50.0,20.0,716.0
-10.0,20.0,720.0
30.0,20.0,724.0
70.0,20.0,728.0
90.0,20.0,732.0
50.0,20.0,736.0
10.0,20.0,740.0
-30.0,20.0,744.0
-70.0,20.0,748.0
-90.0,20.0,752.0
-50.0,20.0,756.0
-10.0,20.0,760.0
30.0,20.0,764.0
70.0,20.0,768.0
90.0,20.0,772.0
50.0,20.0,776.0
10.0,20.0,780.0
-30.0,20.0,784.0
-70.0,20.0,788.0
-90.0,20.0,792.0
-50.0,20.0,796.0
-10.0,20.0,800.0
30.0,20.0,804.0
70.0,20.0,808.0
90.0,20.0,812.0
50.0,20.0,816.0
10.0,20.0,820.0
-30.0,20.0,824.0
-70.0,20.0,828.0
-90.0,20.0,832.0
-50.0,20.0,836.0
-10.0,20.0,840.0
30.0,20.0,844.0
70.0,20.0,848.0
90.0,20.0,852.0
50.0,20.0,856.0
10.0,20.0,860.0
-30.0,20.0,864.0
-70.0,20.0,868.0
-90.0,20.0,872.0
-50.0,20.0,876.0
-10.0,20.0,880.0
30.0,20.0,884.0
70.0,20.0,888.0
90.0,20.0,892.0
50.0,20.0,896.0
10.0,20.0,900.0
-30.0,20.0,904.0
-70.0,20.0,908.0
-90.0,20.0,912.0
-50.0,20.0,916.0
-10.0,20.0,920.0
30.0,20.0,924.0
70.0,20.0,928.0
90.0,20.0,932.0
50.0,20.0,936.0
10.0,20.0,940.0
-30.0,20.0,944.0
-70.0,20.0,948.0
-90.0,20.0,952.0
-50.0,20.0,956.0
-10.0,20.0,960.0
30.0,20.0,964.0
70.0,20.0,968.0
90.0,20.0,972.0
50.0,20.0,976.0
10.0,20.0,980.0
-30.0,20.0,984.0
-70.0,20.0,988.0
-90.0,20.0,992.0
-50.0,20.0,996.0
-10.0,20.0,1000.0
30.0,20.0,1004.0
70.0,20.0,1008.0
90.0,20.0,1012.0
50.0,20.0,1016.0
10.0,20.0,1020.0
-30.0,20.0,1024.0
-70.0,20.0,1028.0
-90.0,20.0,1032.0
-50.0,20.0,1036.0
-10.0,20.0,1040.0
30.0,20.0,1044.0
70.0,20.0,1048.0
90.0,20.0,1052.0
50.0,20.0,1056.0
10.0,20.0,1060.0
-30.0,20.0,1064.0
-70.0,20.0,1068.0
-90.0,20.0,1072.0
-50.0,20.0,1076.0
-10.0,20.0,1080.0
30.0,20.0,1084.0
