CELEVATION,CHEADING,CSPEED,TIME
0.0,73.3,0.0,0.0
0.0,90.0,0.0,261.0
0.0,0.0,0.0,1111.0
0.0,-90.0,0.0,1161.0
0.0,0.0,0.0,2011.0
0.0,90.0,0.0,2061.0
0.0,0.0,0.0,2911.0
0.0,-90.0,0.0,2961.0
0.0,0.0,0.0,3811.0
0.0,90.0,0.0,3861.0
0.0,0.0,0.0,4711.0
0.0,-90.0,0.0,4761.0
0.0,0.0,0.0,5611.0
0.0,90.0,0.0,5661.0
0.0,0.0,0.0,6511.0
0.0,-90.0,0.0,6561.0
0.0,0.0,0.0,7411.0
0.0,90.0,0.0,7461.0
0.0,0.0,0.0,8311.0
0.0,-90.0,0.0,8361.0
0.0,0.0,0.0,9211.0
0.0,90.0,0.0,9261.0
0.0,0.0,0.0,10111.0
0.0,-90.0,0.0,10161.0
0.0,0.0,0.0,11011.0
0.0,90.0,0.0,11061.0
0.0,0.0,0.0,11911.0
0.0,-90.0,0.0,11961.0
0.0,0.0,0.0,12811.0
0.0,90.0,0.0,12861.0
0.0,0.0,0.0,13711.0
0.0,-90.0,0.0,13761.0
0.0,0.0,0.0,14611.0
0.0,90.0,0.0,14661.0
0.0,0.0,0.0,15511.0
0.0,-90.0,0.0,15561.0
0.0,0.0,0.0,16411.0
0.0,90.0,0.0,16461.0
0.0,0.0,0.0,17311.0
0.0,-90.0,0.0,17361.0
0.0,0.0,0.0,18211.0
0.0,90.0,0.0,18261.0
0.0,0.0,0.0,19111.0
0.0,-90.0,0.0,19161.0
