CELEVATION,CHEADING,CSPEED,TIME
0.0,70.0,0.0,0.0
0.0,-45.0,0.0,595.0
0.0,45.0,0.0,995.0
0.0,135.0,0.0,1045.0
0.0,45.0,0.0,1495.0
0.0,-45.0,0.0,1545.0
0.0,45.0,0.0,1995.0
0.0,135.0,0.0,2045.0
0.0,45.0,0.0,2495.0
0.0,-45.0,0.0,2545.0
0.0,45.0,0.0,2995.0
0.0,135.0,0.0,3045.0
0.0,45.0,0.0,3495.0
0.0,-45.0,0.0,3545.0
0.0,45.0,0.0,3995.0
0.0,135.0,0.0,4045.0
0.0,45.0,0.0,4495.0
0.0,-45.0,0.0,4545.0
0.0,45.0,0.0,4995.0
0.0,135.0,0.0,5045.0
0.0,45.0,0.0,5495.0
0.0,-45.0,0.0,5545.0
0.0,45.0,0.0,5995.0
0.0,135.0,0.0,6045.0
0.0,45.0,0.0,6495.0
0.0,-45.0,0.0,6545.0
0.0,45.0,0.0,6955.0
0.0,135.0,0.0,6995.0
