cAzimuth,cElevation,time
-60.0,70.0,1000.0
-90.0,70.0,1002.0
-60.0,70.0,1004.0
-30.0,70.0,1006.0
0.0,70.0,1008.0
30.0,70.0,1010.0
60.0,70.0,1012.0
90.0,70.0,1014.0
60.0,70.0,1016.0
30.0,70.0,1018.0
0.0,70.0,1020.0
-30.0,70.0,1022.0
-60.0,70.0,1024.0
-90.0,70.0,1026.0
-60.0,70.0,1028.0
-30.0,70.0,1030.0
0.0,70.0,1032.0
30.0,70.0,1034.0
60.0,70.0,1036.0
90.0,70.0,1038.0
60.0,70.0,1040.0
30.0,70.0,1042.0
0.0,70.0,1044.0
-30.0,70.0,1046.0
-60.0,70.0,1048.0
-90.0,70.0,1050.0
-60.0,70.0,1052.0
-30.0,70.0,1054.0
0.0,70.0,1056.0
30.0,70.0,1058.0
60.0,70.0,1060.0
90.0,70.0,1062.0
60.0,70.0,1064.0
30.0,70.0,1066.0
0.0,70.0,1068.0
-30.0,70.0,1070.0
-60.0,70.0,1072.0
-90.0,70.0,1074.0
-60.0,70.0,1076.0
-30.0,70.0,1078.0
0.0,70.0,1080.0
30.0,70.0,1082.0
60.0,70.0,1084.0
90.0,70.0,1086.0
60.0,70.0,1088.0
30.0,70.0,1090.0
0.0,70.0,1092.0
-30.0,70.0,1094.0
-60.0,70.0,1096.0
-90.0,70.0,1098.0
-60.0,70.0,1100.0
-30.0,70.0,1102.0
0.0,70.0,1104.0
30.0,70.0,1106.0
60.0,70.0,1108.0
90.0,70.0,1110.0
60.0,70.0,1112.0
30.0,70.0,1114.0
0.0,70.0,1116.0
-30.0,70.0,1118.0
-60.0,70.0,1120.0
-90.0,70.0,1122.0
-60.0,70.0,1124.0
-30.0,70.0,1126.0
0.0,70.0,1128.0
30.0,70.0,1130.0
60.0,70.0,1132.0
90.0,70.0,1134.0
60.0,70.0,1136.0
30.0,70.0,1138.0
0.0,70.0,1140.0
-30.0,70.0,1142.0
-60.0,70.0,1144.0
-90.0,70.0,1146.0
-60.0,70.0,1148.0
-30.0,70.0,1150.0
0.0,70.0,1152.0
30.0,70.0,1154.0
60.0,70.0,1156.0
90.0,70.0,1158.0
60.0,70.0,1160.0
30.0,70.0,1162.0
0.0,70.0,1164.0
-30.0,70.0,1166.0
-60.0,70.0,1168.0
-90.0,70.0,1170.0
-60.0,70.0,1172.0
-30.0,70.0,1174.0
0.0,70.0,1176.0
30.0,70.0,1178.0
60.0,70.0,1180.0
90.0,70.0,1182.0
60.0,70.0,1184.0
30.0,70.0,1186.0
0.0,70.0,1188.0
-30.0,70.0,1190.0
-60.0,70.0,1192.0
-90.0,70.0,1194.0
-60.0,70.0,1196.0
-30.0,70.0,1198.0
0.0,70.0,1200.0
30.0,70.0,1202.0
60.0,70.0,1204.0
90.0,70.0,1206.0
60.0,70.0,1208.0
30.0,70.0,1210.0
0.0,70.0,1212.0
-30.0,70.0,1214.0
-60.0,70.0,1216.0
-90.0,70.0,1218.0
-60.0,70.0,1220.0
-30.0,70.0,1222.0
0.0,70.0,1224.0
30.0,70.0,1226.0
60.0,70.0,1228.0
90.0,70.0,1230.0
60.0,70.0,1232.0
30.0,70.0,1234.0
0.0,70.0,1236.0
-30.0,70.0,1238.0
-60.0,70.0,1240.0
-90.0,70.0,1242.0
-60.0,70.0,1244.0
-30.0,70.0,1246.0
0.0,70.0,1248.0
30.0,70.0,1250.0
60.0,70.0,1252.0
90.0,70.0,1254.0
60.0,70.0,1256.0
30.0,70.0,1258.0
0.0,70.0,1260.0
-30.0,70.0,1262.0
-60.0,70.0,1264.0
-90.0,70.0,1266.0
-60.0,70.0,1268.0
-30.0,70.0,1270.0
0.0,70.0,1272.0
30.0,70.0,1274.0
60.0,70.0,1276.0
90.0,70.0,1278.0
60.0,70.0,1280.0
30.0,70.0,1282.0
0.0,70.0,1284.0
-30.0,70.0,1286.0
-60.0,70.0,1288.0
-90.0,70.0,1290.0
-60.0,70.0,1292.0
-30.0,70.0,1294.0
0.0,70.0,1296.0
30.0,70.0,1298.0
60.0,70.0,1300.0
90.0,70.0,1302.0
60.0,70.0,1304.0
30.0,70.0,1306.0
0.0,70.0,1308.0
-30.0,70.0,1310.0
-60.0,70.0,1312.0
-90.0,70.0,1314.0
-60.0,70.0,1316.0
-30.0,70.0,1318.0
0.0,70.0,1320.0
30.0,70.0,1322.0
60.0,70.0,1324.0
90.0,70.0,1326.0
60.0,70.0,1328.0
30.0,70.0,1330.0
0.0,70.0,1332.0
-30.0,70.0,1334.0
-60.0,70.0,1336.0
-90.0,70.0,1338.0
-60.0,70.0,1340.0
-30.0,70.0,1342.0
0.0,70.0,1344.0
30.0,70.0,1346.0
60.0,70.0,1348.0
90.0,70.0,1350.0
60.0,70.0,1352.0
30.0,70.0,1354.0
0.0,70.0,1356.0
-30.0,70.0,1358.0
-60.0,70.0,1360.0
-90.0,70.0,1362.0
-60.0,70.0,1364.0
-30.0,70.0,1366.0
0.0,70.0,1368.0
30.0,70.0,1370.0
60.0,70.0,1372.0
90.0,70.0,1374.0
60.0,70.0,1376.0
30.0,70.0,1378.0
0.0,70.0,1380.0
-30.0,70.0,1382.0
-60.0,70.0,1384.0
-90.0,70.0,1386.0
-60.0,70.0,1388.0
-30.0,70.0,1390.0
0.0,70.0,1392.0
30.0,70.0,1394.0
60.0,70.0,1396.0
90.0,70.0,1398.0
60.0,70.0,1400.0
30.0,70.0,1402.0
0.0,70.0,1404.0
-30.0,70.0,1406.0
-60.0,70.0,1408.0
-90.0,70.0,1410.0
-60.0,70.0,1412.0
-30.0,70.0,1414.0
0.0,70.0,1416.0
30.0,70.0,1418.0
60.0,70.0,1420.0
90.0,70.0,1422.0
60.0,70.0,1424.0
30.0,70.0,1426.0
0.0,70.0,1428.0
-30.0,70.0,1430.0
-60.0,70.0,1432.0
-90.0,70.0,1434.0
-60.0,70.0,1436.0
-30.0,70.0,1438.0
0.0,70.0,1440.0
30.0,70.0,1442.0
60.0,70.0,1444.0
90.0,70.0,1446.0
