CELEVATION,CHEADING,CSPEED,TIME
0.0,45.0,0.0,0.0
0.0,-45.0,0.0,1258.1
0.0,-135.0,0.0,1267.0
0.0,135.0,0.0,1311.5
0.0,45.0,0.0,1364.8
0.0,-45.0,0.0,1453.7
0.0,-135.0,0.0,1551.5
0.0,135.0,0.0,1684.8
0.0,45.0,0.0,1827.0
0.0,-45.0,0.0,2004.8
0.0,-135.0,0.0,2191.5
0.0,135.0,0.0,2413.7
0.0,45.0,0.0,2644.8
0.0,-45.0,0.0,2911.5
0.0,-135.0,0.0,3187.0
0.0,135.0,0.0,3498.1
0.0,45.0,0.0,3818.1
0.0,-45.0,0.0,4173.7
0.0,-135.0,0.0,4538.1
0.0,135.0,0.0,4938.1
0.0,45.0,0.0,5347.0
0.0,-45.0,0.0,5791.5
0.0,-135.0,0.0,6244.8
0.0,135.0,0.0,6733.7
