CELEVATION,CHEADING,CSPEED,TIME
0.0,-104.0,0.0,1000.0
0.0,-45.0,0.0,1458.1
0.0,-135.0,0.0,1467.0
0.0,135.0,0.0,1511.5
0.0,45.0,0.0,1564.8
0.0,-45.0,0.0,1653.7
0.0,-135.0,0.0,1751.5
0.0,135.0,0.0,1884.8
0.0,45.0,0.0,2027.0
0.0,-45.0,0.0,2204.8
0.0,-135.0,0.0,2391.5
0.0,135.0,0.0,2613.7
0.0,45.0,0.0,2844.8
0.0,-45.0,0.0,3111.5
0.0,-135.0,0.0,3387.0
0.0,135.0,0.0,3698.1
0.0,45.0,0.0,4018.1
0.0,-45.0,0.0,4373.7
0.0,-135.0,0.0,4738.1
0.0,135.0,0.0,5138.1
0.0,45.0,0.0,5547.0
0.0,-45.0,0.0,5991.5
0.0,-135.0,0.0,6444.8
0.0,135.0,0.0,6933.7
0.0,45.0,0.0,7431.5
